Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2024-11-25,GOOG,167.99,170.46,167.4,169.43,21395652.0,169.2828,244397
2024-11-26,GOOG,169.49,171.495,169.43,170.62,14937478.0,170.605,193122
2024-11-27,GOOG,170.68,171.14,169.67,170.82,12433371.0,170.721,151438
2024-11-29,GOOG,170.06,170.87,168.75,170.49,9250712.0,170.2813,106115
2024-12-02,GOOG,170.32,173.6,170.27,172.98,16593444.0,172.7523,187930
2024-12-03,GOOG,173.12,174.32,172.51,173.02,15721483.0,173.0607,160657
2024-12-04,GOOG,172.78,176.43,172.75,176.09,18239842.0,175.609,180310
2024-12-05,GOOG,177.32,177.71,174.01,174.31,16145520.0,175.0246,187434
2024-12-06,GOOG,173.88,176.8389,173.55,176.49,13319549.0,176.1021,170429
2024-12-09,GOOG,175.715,178.04,175.4,177.1,19887786.0,177.0243,229218
2024-12-10,GOOG,184.535,188.03,182.67,186.53,34317438.0,185.4705,474989
2024-12-11,GOOG,186.7,196.89,186.26,196.71,41664489.0,194.1562,524587
2024-12-12,GOOG,196.3,196.7053,193.28,193.63,25197757.0,195.0299,328008
2024-12-13,GOOG,192.71,194.34,191.26,191.38,18883217.0,192.436,253180
2024-12-16,GOOG,194.365,200.64,194.11,198.16,32248640.0,198.0721,356155
2024-12-17,GOOG,198.53,202.88,196.69,197.12,24099481.0,198.5459,328307
2024-12-18,GOOG,196.83,198.6899,189.28,190.15,27638416.0,193.0666,306245
2024-12-19,GOOG,193.28,194.6,189.52,189.7,26981196.0,191.1591,304784
2024-12-20,GOOG,187.01,194.1354,186.37,192.96,45319703.0,191.8106,292174
2024-12-23,GOOG,194.03,196.49,191.63,195.99,15235942.0,194.9029,205122
2024-12-24,GOOG,196.17,197.67,195.1979,197.57,6809823.0,196.9554,95058
2024-12-26,GOOG,196.74,198.16,195.87,197.1,7918434.0,197.2825,118569
2024-12-27,GOOG,196.47,196.8,191.972,194.04,14692994.0,193.7382,196859
2024-12-30,GOOG,190.865,193.78,190.36,192.69,12209534.0,192.5354,183543
2024-12-31,GOOG,192.445,193.25,189.58,190.44,14355221.0,191.1776,193679
2025-01-02,GOOG,191.485,193.2,188.71,190.63,17494462.0,190.6861,257495
2025-01-03,GOOG,192.725,194.5,191.35,193.13,12874957.0,193.0296,167259
2025-01-06,GOOG,195.15,199.56,195.06,197.96,19483323.0,197.9106,220943
2025-01-07,GOOG,198.27,202.14,195.94,196.71,16966760.0,198.0718,217018
2025-01-08,GOOG,193.95,197.64,193.75,195.39,14335341.0,195.7158,196308
2025-01-10,GOOG,195.42,197.62,191.6,193.17,20753778.0,193.7755,236744
2025-01-13,GOOG,191.35,192.49,188.66,192.29,13169060.0,191.239,195557
2025-01-14,GOOG,192.5,193.27,189.64,191.05,13651183.0,191.3232,160037
2025-01-15,GOOG,194.35,197.8,193.33,196.98,12894875.0,196.1905,180823
2025-01-16,GOOG,195.825,196.9799,194.3,194.41,13449581.0,195.2996,181909
2025-01-17,GOOG,198.05,198.81,195.31,197.55,22109129.0,197.4741,175468
2025-01-21,GOOG,200.51,203.84,199.44,199.63,19005232.0,200.3859,220698
2025-01-22,GOOG,200.55,202.12,199.2,200.03,15477376.0,200.522,197583
2025-01-23,GOOG,199.98,201.94,196.82,199.58,15170838.0,199.7433,211464
2025-01-24,GOOG,199.85,202.57,199.7842,201.9,12732376.0,201.4108,181288
2025-01-27,GOOG,194.19,198.67,192.7,193.77,24970173.0,194.9441,379986
2025-01-28,GOOG,194.65,197.23,192.61,197.07,15939161.0,196.17,220597
2025-01-29,GOOG,197.37,198.4595,195.19,197.18,12282999.0,196.9201,186784
2025-01-30,GOOG,199.76,203.2384,199.4717,202.63,14571479.0,201.8869,208136
2025-01-31,GOOG,203.715,207.08,203.58,205.6,17087335.0,205.8043,248047
2025-02-03,GOOG,202.215,205.22,201.66,202.64,16719469.0,203.3108,272134
2025-02-04,GOOG,204.5,208.7,204.26,207.71,28282736.0,204.1324,401232
2025-02-05,GOOG,193.1,194.5499,189.91,193.3,43719589.0,192.094,678355
2025-02-06,GOOG,190.99,193.83,190.49,193.31,20816593.0,192.4781,291111
2025-02-07,GOOG,192.74,193.015,185.1,187.14,29565724.0,188.0232,438661
2025-02-10,GOOG,189.06,189.99,187.61,188.2,16606020.0,188.5337,228928
2025-02-11,GOOG,186.835,188.8,186.08,187.07,13028100.0,187.079,190996
2025-02-12,GOOG,185.23,186.83,183.63,185.43,17632314.0,185.381,209210
2025-02-13,GOOG,185.93,187.99,184.88,187.88,12729334.0,186.5203,188801
2025-02-14,GOOG,186.83,188.15,186.11,186.87,12714154.0,186.9918,178362
